ackermann-function	7	9	9	14	15	420	305	94	314	1747	137	17	9	87
array-concatenation	5	2	4	9	14	124	39	12	22	24	17	121	192	5
call-an-object-method	1	2	2	3	1	57	164	40	221	2883	66	44	3	1
classes	1	3	3	2	9	19	3	2	2	23	2	2	2	1
factorial	26	37	33	37	42	760	2077	320	1159	3243	620	93	26	22
file-input-output	42	110	25	9	5	712	40	8	44	341	17	9	402	227
huffman-coding	36	6	58	23	34	59	126	27	55	608	196	103	103	995
json	16	15	170	21	10	2550	18	8	67	139	109	60	149	11
palindrome-detection	252	27	248	206	713	3314	7255	83	239	25696	168	3361	3563	25
regular-expressions	7	93	180	384	2	54	1	3	17	108	5	27	138	46
sorting-algorithms-bubble-sort	12	29	44	31	15	219	587	446	740	774	528	163	2362	17
sorting-algorithms-insertion-sort	10	7	16	12	3	44	346	111	224	383	148	55	168	10
sorting-algorithms-merge-sort	7	7	6	1	24	63	295	157	196	847	119	98	496	13
sorting-algorithms-quick-sort	1	2	3	5	37	18	101	58	102	228	95	38	717	26
sorting-algorithms-selection-sort	7	14	20	14	7	68	294	138	294	385	303	100	176	12
url-decoding	2	3	7	1	2	189	22	1	21	243	14	1	12	6
url-encoding	3	24	10	27	2	239	23	1	16	484	58	1	56	9
