ackermann-function	159	72	72	61	142	1102	2592	4277	4591	29431	2098	96	72	596
array-concatenation	74	46	53	264	67	822	330	478	278	369	177	989	1683	111
call-an-object-method	4	20	20	10	0	316	1624	1580	2782	0	1272	408	35	5
classes	14	2	2	5	0	93	18	8	14	267	21	2	17	17
factorial	683	226	230	200	497	2941	17883	14226	16552	0	9161	2378	243	445
huffman-coding	531	65	314	311	488	358	1151	556	663	6630	0	684	1071	18165
palindrome-detection	3340	327	2328	5479	2988	20796	63420	2503	3150	0	3058	12479	42966	229
regular-expressions	1457	884	1141	2305	36	2797	16	85	233	1007	61	195	1642	907
sorting-algorithms-bubble-sort	184	305	256	172	413	3249	5345	9804	10951	75948	10662	2640	21610	188
sorting-algorithms-insertion-sort	147	75	100	60	59	639	2745	4884	2101	38371	3196	623	1424	101
sorting-algorithms-merge-sort	121	79	50	7	434	580	2411	6009	2448	17058	1515	1006	4843	174
sorting-algorithms-quick-sort	23	26	31	18	583	220	782	1927	1263	3537	1108	0	5728	487
sorting-algorithms-selection-sort	95	126	165	66	104	954	2831	5848	4020	5710	6256	2110	1400	112
url-decoding	23	36	65	32	64	1064	268	21	273	2513	168	18	146	147
url-encoding	40	329	111	467	199	1209	272	15	238	4211	790	18	610	128
