ackermann-function	159	72	72	61	141	1102	2592	4278	4592	29435	2098	96	76	597
array-concatenation	44	5	6	54	31	279	187	69	121	586	91	42	364	41
call-an-object-method	907	5	5	48	10	1976	1624	1580	2783	4450	1272	408	74	5
classes	8	1	5	5	0	20	300	43	156	674	52	8	12	47
concurrent-computing	1883	80	9162	102	1	2652	44744	1	2833	1	2935	5604	114	1504
exponentiation-operator	103	2	6	14	20	369	2083	237	4770	4415	3581	0	90	95
factorial	683	226	231	201	496	2941	17887	14230	16554	7004	9163	2378	247	445
file-input-output	174	306	242	156	1719	1256	183	180	187	376	159	158	743	313
function-composition	1542	406	4	2260	150	9937	1468	469	655	1396	902	56	1053	1
huffman-coding	532	65	314	297	486	359	1151	556	663	6632	1787	684	1073	18185
inheritance-multiple	1	1	85	1	36521	216	94	1	108	1	76	1	109	1
inheritance-single	89	1	80	1	194	235	84	85	83	251	84	1	115	92
json	259	156	1216	335	120	11405	200	102	797	1477	1074	86	772	144
lzw-compression	75	11	225	154	2	672	239	40	156	1	216	1	1576	78
numerical-integration	51013	2883	4525	3701	3316	32311	272474	60954	210248	12695	252259	2268	196313	803652
palindrome-detection	3343	328	2329	5386	2975	20804	63427	2504	3151	36933	3058	12480	42969	229
regular-expressions	171	42	23	232	4	345	10	5	29	146	10	5	220	113
sorting-algorithms-bubble-sort	184	305	256	172	412	3250	5346	9804	10955	75960	10662	2642	21610	188
sorting-algorithms-insertion-sort	147	75	100	61	58	639	2746	4884	2101	38374	3196	623	1424	101
sorting-algorithms-merge-sort	122	79	50	7	432	580	2411	6009	2449	17061	1516	1006	4843	175
sorting-algorithms-quick-sort	23	26	31	18	581	220	782	1928	1264	3538	1108	481	5730	487
sorting-algorithms-selection-sort	95	126	165	66	103	955	2831	5849	4021	5718	6260	2111	1401	113
synchronous-concurrency	21	20	20	22	1	0	35	1	23	1	21	20	1	22
url-decoding	90	1	3	63	38	1304	102	21	299	348	369	42	229	257
url-encoding	10	5	4	78	3	152	3	2	30	5652	18	4	88	22
