ackermann-function	112.2	140.5	124.9	227.8	261.7	6189.7	5604.1	1623.2	5878.1	34366.4	2413.3	275.9	155.5	1432.6
array-concatenation	74.1	32.1	68.8	108.3	248.9	2179.6	695.1	212.4	410.3	450.8	289.0	2118.5	3367.5	86.2
call-an-object-method	436.5	32.8	34.5	55.2	19.5	831.2	3000.7	693.9	4239.0	55515.0	1172.8	714.2	65.4	21.0
classes	59.7	67.9	72.1	44.4	221.9	509.9	106.1	68.1	119.5	606.3	135.3	74.5	102.6	99.7
concurrent-computing	2402.5	125.6	17012.7	148.1	-1	5597.1	74858.8	26119.7	3111.9	-1	12935.0	89.7	258.2	3302.7
exponentiation-operator	1967.2	347.9	356.5	177.3	257.5	4599.5	2257.9	2714.3	53632.1	21456.4	29235.2	1957.5	1679.5	1975.9
factorial	442.0	618.1	537.9	591.8	728.5	11129.7	39115.7	5721.2	22304.0	64631.4	10931.7	1460.9	426.7	359.2
file-input-output	1784.8	1989.0	2397.9	803.7	1664.2	13553.8	1174.6	909.2	587.2	7002.6	853.3	754.2	28947.5	7616.4
function-composition	104.6	1835.4	1000.3	1456.3	225.0	3831.9	24484.4	6797.5	8408.8	21203.4	14084.6	611.4	12935.7	-1
huffman-coding	674.2	84.3	985.2	373.2	611.1	947.2	2296.9	476.9	855.8	11755.1	3626.7	1819.0	1831.4	17951.2
inheritance-multiple	-1	-1	99.6	-1	845.2	739.3	147.9	-1	211.5	-1	104.4	-1	170.0	-1
inheritance-single	116.1	-1	85.9	-1	344.2	679.4	138.1	83.1	108.7	393.2	117.8	-1	179.5	106.9
json	272.0	280.7	2955.7	273.2	185.2	44060.9	324.1	145.0	1262.0	2568.3	1974.4	1060.3	2634.2	195.2
lzw-compression	115.6	22.7	578.7	141.0	4.6	1849.2	412.7	40.5	223.0	-1	342.8	122.9	2222.2	123.3
numerical-integration	13699.3	3709.4	7309.5	7767.8	3894.2	29187.8	242241.0	77970.1	37851.1	25016.1	237710.7	3739.7	144100.2	268125.7
palindrome-detection	4522.2	451.0	4200.8	3620.4	13378.0	5798.0	21590.2	1437.7	4481.5	43705.3	3118.6	51254.4	43496.2	384.8
regular-expressions	1565.8	69.9	3152.0	3189.1	29.9	968.5	79.1	101.2	358.9	1778.2	50.4	492.9	1360.1	1028.6
sorting-algorithms-bubble-sort	200.0	480.5	710.8	485.1	248.4	3866.2	10919.3	8108.2	13845.9	14762.9	9922.3	2506.1	40503.3	276.7
sorting-algorithms-insertion-sort	163.4	114.8	275.6	188.9	57.2	770.4	6342.6	1950.3	4089.4	7331.3	2713.0	944.6	2692.0	166.1
sorting-algorithms-merge-sort	133.8	119.6	100.6	33.1	409.7	1121.4	5508.3	2876.0	3662.0	322.2	2177.8	1607.1	7364.3	214.1
sorting-algorithms-quick-sort	27.0	45.3	55.3	60.8	686.0	308.6	1835.9	1029.9	1907.3	4437.9	3482.6	588.8	11470.7	477.1
sorting-algorithms-selection-sort	115.0	220.4	342.1	231.5	100.9	1182.2	5347.6	2423.0	5595.6	7414.8	5561.8	1727.9	2732.1	176.8
synchronous-concurrency	25.2	16.0	14.7	17.8	-1	20.8	50.7	-1	40.3	-1	16.7	21.8	-1	103.2
url-decoding	39.1	56.5	104.5	25.3	35.7	3097.7	385.2	14.7	390.5	4670.7	361.5	24.0	208.2	116.0
url-encoding	53.1	419.3	187.2	423.5	36.2	3892.4	400.8	18.3	298.9	8866.7	1043.9	25.3	953.9	156.4
