ackermann-function	7	9	9	14	15	421	306	94	314	1752	138	17	9	88
array-concatenation	5	2	4	8	14	124	40	12	23	24	17	122	194	5
call-an-object-method	1	2	2	3	1	57	166	40	222	2891	67	44	3	1
classes	4	3	3	2	10	22	6	3	5	26	6	3	5	5
concurrent-computing	223	7	2207	11	1	399	6062	2173	265	1	1476	5	13	242
exponentiation-operator	149	19	22	12	17	282	1881	177	3481	2589	2788	129	128	148
factorial	26	37	34	37	43	762	2083	322	1162	3252	624	94	26	22
file-input-output	102	180	210	72	5	762	106	88	108	381	73	67	39658	418
function-composition	7	122	74	106	13	2473	1409	399	485	1207	851	44	871	1
huffman-coding	37	6	58	22	34	59	126	27	56	609	197	103	103	999
inheritance-multiple	1	1	5	1	5	34	8	1	10	1	6	1	9	1
inheritance-single	6	1	5	1	20	34	7	5	6	18	7	1	9	6
json	16	15	171	21	10	2560	18	8	68	140	110	60	150	12
lzw-compression	9	1	38	12	0	129	25	3	13	1	24	8	130	9
numerical-integration	2399	226	456	615	220	1	28211	4733	15826	1417	15098	248	19388	49603
palindrome-detection	254	27	250	208	708	3322	7273	83	240	25771	169	3367	3569	25
regular-expressions	7	93	180	305	2	55	1	3	17	108	5	27	139	44
sorting-algorithms-bubble-sort	12	30	44	31	15	220	591	448	742	776	533	163	2366	17
sorting-algorithms-insertion-sort	11	7	16	12	3	45	348	112	225	385	149	55	168	10
sorting-algorithms-merge-sort	8	7	6	2	24	63	295	157	197	850	119	98	497	13
sorting-algorithms-quick-sort	1	2	3	5	38	18	102	59	103	228	95	38	719	26
sorting-algorithms-selection-sort	7	14	20	14	7	69	294	138	295	387	304	100	178	12
synchronous-concurrency	2	1	1	1	1	1	5	1	3	1	1	2	1	11
url-decoding	2	3	7	1	3	190	22	1	21	244	16	1	12	6
url-encoding	3	24	10	27	2	240	23	1	16	486	59	1	56	9
