ackermann-function	7	9	9	14	15	421	306	94	314	1752	138	17	9	88
array-concatenation	186	20	33	100	326	7402	2233	623	927	3267	852	176	1090	159
call-an-object-method	14	1	0	2	2	612	3042	270	589	6361	207	1	26	2
classes	14	3	26	0	2	655	3159	304	1115	4265	401	1	114	2934
concurrent-computing	223	7	2207	11	1	399	6062	2173	265	1	1476	5	13	242
exponentiation-operator	301	4	26	31	36	664	4309	543	6847	6544	5998	128	268	298
factorial	26	37	34	37	43	762	2083	322	1162	3252	624	94	26	22
file-input-output	39	10	7	3	39	372	4	5	4	91	3	3	28	410
function-composition	29651	31	12	46	22	3182	25508	351	565	1394	816	78	515	1
huffman-coding	37	6	58	22	34	59	126	27	56	609	197	103	103	999
inheritance-multiple	1	1	5	1	27463	37	8	1	11	1	7	1	11	1
inheritance-single	7	1	5	1	22	36	7	6	8	24	8	1	11	7
json	16	15	171	21	10	2560	18	8	68	140	110	60	150	12
lzw-compression	9	1	38	12	0	129	25	3	13	1	24	8	130	9
numerical-integration	2399	226	456	615	220	5353	28211	4733	15826	1417	15098	248	19388	49603
palindrome-detection	254	27	250	208	708	3322	7273	83	240	25771	169	3367	3569	25
regular-expressions	92	31	18	177	4	657	13	5	20	164	7	5	90	61
sorting-algorithms-bubble-sort	12	30	44	31	15	220	591	448	742	776	533	163	2366	17
sorting-algorithms-insertion-sort	11	7	16	12	3	45	348	112	225	385	149	55	168	10
sorting-algorithms-merge-sort	8	7	6	2	24	63	295	157	197	850	119	98	497	13
sorting-algorithms-quick-sort	1	2	3	5	38	18	102	59	103	228	95	38	719	26
sorting-algorithms-selection-sort	7	14	20	14	7	69	294	138	295	387	304	100	178	12
synchronous-concurrency	2	1	1	1	1	2	5	1	3	1	1	2	1	11
url-decoding	54	12	10	26	30	2810	134	16	228	418	288	32	182	108
url-encoding	7	18	6	37	3	331	3	1	21	631	14	3	20	14
