ackermann-function	10	12	12	11	18	341	6	109	397	1817	167	18	12	123
array-concatenation	5	2	4	9	23	107	46	13	24	23	14	114	166	4
call-an-object-method	0	2	2	1	5	58	178	40	200	3215	66	35	3	1
classes	0	0	0	0	9	19	2	0	1	23	1	0	1	1
concurrent-computing	212	1	95	6	1	313	3162	634	318	1	154	3	5	129
exponentiation-operator	119	17	20	14	21	293	1958	176	3731	2916	2050	114	106	118
factorial	23	31	29	27	47	651	2393	320	1141	3238	514	82	22	23
file-input-output	54	103	0	9	240	846	43	10	41	355	16	8	297	192
function-composition	5	108	62	118	85	2452	1929	414	497	1183	727	37	723	1
huffman-coding	29	6	45	23	34	62	138	27	55	765	190	90	90	896
inheritance-multiple	1	1	0	1	206	30	3	1	2	1	1	1	1	1
inheritance-single	0	1	0	1	22	30	3	0	2	18	1	1	1	1
json	15	15	154	25	16	2397	21	10	93	191	110	51	160	10
numerical-integration	2174	234	435	520	293	1	34313	6478	17800	905	17437	245	19260	47581
palindrome-detection	192	24	225	144	1464	3463	8041	86	221	31749	156	2823	3032	25
regular-expressions	7	90	160	466	4	51	2	4	23	123	5	21	136	47
sorting-algorithms-bubble-sort	13	25	37	6	23	216	671	524	915	1049	631	142	1899	16
sorting-algorithms-insertion-sort	9	6	13	2	4	44	457	141	224	440	154	48	134	10
sorting-algorithms-merge-sort	6	6	5	0	35	68	301	182	219	928	123	78	437	10
sorting-algorithms-quick-sort	1	2	3	1	55	22	99	58	99	270	83	32	580	22
sorting-algorithms-selection-sort	7	12	20	9	10	66	379	193	309	380	355	98	139	11
url-decoding	5	4	7	1	2	267	29	0	24	348	5	1	11	5
url-encoding	12	25	9	31	6	276	29	0	19	571	11	1	49	9
