ackermann-function	10	12	12	11	18	341	6	109	397	1821	167	18	12	123
array-concatenation	5	2	4	8	23	107	46	13	24	23	14	114	167	4
call-an-object-method	0	2	2	2	5	58	178	40	200	3222	66	35	3	3
classes	3	3	2	2	11	21	5	3	4	26	5	2	4	4
concurrent-computing	161	8	8214	9	1	148	3200	857	233	1	1274	3525	10	134
exponentiation-operator	120	17	20	15	21	294	1961	177	3736	2924	2055	114	112	118
factorial	23	31	29	27	47	652	2396	320	1142	3245	515	82	22	23
file-input-output	207	398	398	360	245	1261	336	295	335	459	295	255	45905	426
function-composition	5	108	62	115	85	294	1931	415	497	1186	728	37	723	1
huffman-coding	29	6	45	22	34	62	138	27	56	766	192	90	90	898
inheritance-multiple	1	1	4	1	325	34	8	1	8	1	5	1	7	1
inheritance-single	5	1	4	1	26	34	7	4	6	22	5	1	7	5
json	15	15	154	25	16	2401	21	11	94	191	110	51	160	10
lzw-compression	6	1	31	15	3	159	24	3	12	1	18	8	129	6
numerical-integration	2179	234	436	520	294	4116	34348	6483	17923	1317	17466	245	19278	47624
palindrome-detection	192	24	225	145	1466	3463	8049	86	221	31817	157	2825	3036	25
regular-expressions	7	90	160	379	4	51	2	4	23	123	5	22	136	45
sorting-algorithms-bubble-sort	13	25	37	6	23	216	671	524	916	1050	632	142	1901	16
sorting-algorithms-insertion-sort	9	6	13	2	4	44	457	141	224	441	154	48	134	10
sorting-algorithms-merge-sort	6	6	5	2	35	67	302	182	219	930	123	78	437	11
sorting-algorithms-quick-sort	1	2	3	1	55	22	99	58	100	271	83	32	581	22
sorting-algorithms-selection-sort	7	12	20	9	10	66	379	194	309	381	355	98	139	11
synchronous-concurrency	1	1	1	1	1	1	4	1	3	1	2	1	1	10
url-decoding	5	4	7	2	2	267	29	1	24	349	7	2	11	5
url-encoding	12	25	9	30	7	276	29	1	19	574	11	2	50	9
