ackermann-function	10	12	12	11	18	341	6	109	397	1821	167	18	12	123
array-concatenation	24	5	6	25	43	771	346	119	146	483	129	30	449	21
call-an-object-method	18	1	1	2	3	652	5299	456	1008	10865	218	0	9	2
classes	17	3	68	1	11	689	5466	589	1855	7055	518	2	103	10266
concurrent-computing	161	8	8214	9	1	148	3200	857	233	1	1274	3525	10	134
exponentiation-operator	120	17	20	15	21	294	1961	177	3736	2924	2055	114	112	118
factorial	23	31	29	27	47	652	2396	320	1142	3245	515	82	22	23
file-input-output	6	5	2	4	6	259	2	3	3	25	2	2	465	10
function-composition	103	44	15	139	117	4225	1931	415	497	1186	728	37	723	1
huffman-coding	29	6	45	22	34	62	138	27	56	766	192	90	90	898
inheritance-multiple	1	1	6	1	325	47	13	1	12	1	9	1	12	1
inheritance-single	8	1	7	1	38	47	11	7	9	33	9	1	12	8
json	15	15	154	25	16	2401	21	11	94	191	110	51	160	10
lzw-compression	6	1	31	15	3	159	24	3	12	1	18	8	129	6
numerical-integration	2179	234	436	520	294	4116	34348	6483	17923	1317	17466	245	19278	47624
palindrome-detection	192	24	225	145	1466	3463	8049	86	221	31817	157	2825	3036	25
regular-expressions	129	53	37	491	5	781	19	9	40	260	11	5	181	84
sorting-algorithms-bubble-sort	13	25	37	6	23	216	671	524	916	1050	632	142	1901	16
sorting-algorithms-insertion-sort	9	6	13	2	4	44	457	141	224	441	154	48	134	10
sorting-algorithms-merge-sort	6	6	5	2	35	67	302	182	219	930	123	78	437	11
sorting-algorithms-quick-sort	1	2	3	1	55	22	99	58	100	271	83	32	581	22
sorting-algorithms-selection-sort	7	12	20	9	10	66	379	194	309	381	355	98	139	11
synchronous-concurrency	1	1	1	1	1	1	4	1	3	1	2	1	1	10
url-decoding	127	3	17	52	51	3402	188	25	3	641	427	46	261	133
url-encoding	18	19	8	73	5	421	5	2	37	1111	17	4	87	18
