PL VL1 VL2 VL3
1 1.101746E7 5497.8 57840.0
1 1098485.6 1852.5 7352.5
1 168.0 436.5 0.0
1 472000.0 955.2 1696.5
1 1.08533542E9 1.1947392E8 3.61533152E8
1 2570030.5 4.3673808E7 1.0084464E8
1 7.6242963E8 298792.0 318828.3
1 1.4662667E7 1.856906E7 5.33769984E8
1 1854.9 5125.4 7550.0
1 4.16469824E8 922979.8 1527508.2
1 Nan Nan Nan
1 2802449.8 4179.6 9512.5
1 2.689948E7 69632.0 199417.5
1 1167750.0 9363.6 14954.4
1 3.38062979E13 7.8842225E10 6.3941299E11
1 1.07848368E11 2.9175424E8 4.3176592E8
1 1.26773166E10 1.1580657E7 20467.3
1 1.6447245E7 28800.0 126124.7
1 8308660.5 19771.4 42654.6
1 5129026.5 8563.2 13053.6
1 28037.0 27.0 59.4
1 2212027.5 5635.0 19433.4
1 26327.7 100.8 55.9
1 30417.5 156.4 7770.0
1 171200.0 477.9 52387.2
2 996883.2 11380.5 102628.8
2 252227.2 128.4 442.8
2 19200.0 131.2 458.8
2 605605.0 611.1 1610.1
2 1992320.0 6154.4 39456.0
2 20240.0 125591.9 315530.2
2 2.9588326E7 846178.9 1767855.6
2 7.3167168E7 6.44436E7 3.31823104E9
2 4024788.8 2.7318094E7 7.7902688E7
2 683182.5 3034.8 12330.0
2 Nan Nan Nan
2 Nan Nan Nan
2 1.0819786E7 63157.5 211162.5
2 3121.8 22.7 52.6
2 6.6872525E10 1.89461312E8 7.8522291E8
2 9.4039176E7 328779.0 833011.2
2 1.89634931E9 414437.1 4.559652E7
2 7.2587408E7 432450.0 923625.0
2 1060312.5 5625.2 10238.4
2 1273164.0 5860.4 12722.4
2 42790.8 181.2 415.2
2 4970775.5 43198.4 99086.4
2 23240.0 16.0 37.1
2 124156.8 508.5 2627.2
2 9.9040512E7 241516.8 951187.5
3 1004140.8 10116.9 101131.2
3 380057.7 1100.8 7289.6
3 18200.0 138.0 729.2
3 305694.4 648.9 604.0
3 1.97630257E12 8.2866291E10 1.62397775E12
3 2.86772E7 172546.0 493640.0
3 3.3366634E7 621812.4 1497484.6
3 3.7885052E7 1.05747392E8 3.31823104E9
3 195274.8 5477643.0 1.4079803E7
3 8.3944632E7 3314212.8 5844757.5
3 2350292.5 2490.0 4924.8
3 1984000.0 2147.5 4377.6
3 5.2097485E9 8.6427624E7 2.24552576E8
3 3.06585E7 835642.8 1817443.2
3 2.57499415E11 1.51990822E9 1.30936218E9
3 3.4882753E10 2.6255E8 6.8762925E8
3 4.2995958E9 1.06714112E8 2.4574464E8
3 4.4099176E7 1376108.8 2950332.0
3 2597000.0 70553.6 133070.6
3 322250.0 3621.6 10837.5
3 75534.6 497.7 1533.6
3 1.1927272E7 136840.0 498640.0
3 23400.0 14.7 53.2
3 765147.5 5120.5 18507.3
3 3698764.2 18720.0 20015.1
4 583824.9 44648.8 82062.2
4 4.9204108E7 6931.2 22380.8
4 2540.0 496.8 469.6
4 60772.4 177.6 613.6
4 4187610.0 17920.1 52544.7
4 4550.4 25531.2 203895.0
4 2.1610494E7 810174.2 1168878.6
4 9968026.0 4166380.8 2.49328358E9
4 3.4565652E7 1.6362987E7 8.2189408E7
4 7.4951184E7 180628.8 558778.0
4 Nan Nan Nan
