PL VL1 VL2 VL3
1 69292.2 785.4 5784.0
1 14844.4 370.5 1470.5
1 42.0 436.5 0.0
1 9440.0 238.8 565.5
1 576386.3 535757.5 2245547.5
1 26224.8 293112.8 840372.0
1 1116295.2 11492.0 13862.1
1 84268.2 182049.6 2578599.0
1 206.1 732.2 1510.0
1 782838.0 24945.4 52672.7
1 -1.0 -1.0 -1.0
1 31488.2 696.6 1902.5
1 103859.0 4352.0 13294.5
1 15570.0 1040.4 2492.4
1 6.6269971E8 3.286462E7 2.93443328E8
1 3.2260952E7 1148638.8 2248780.8
1 5915200.5 920.5 2923.9
1 89387.2 2400.0 9701.9
1 56521.5 1797.4 4739.4
1 42041.2 1070.4 2175.6
1 1219.0 27.0 59.4
1 23284.5 805.0 2776.2
1 1253.7 50.4 55.9
1 1322.5 78.2 1554.0
1 4280.0 159.3 4365.6
2 13845.6 1264.5 8552.4
2 5483.2 64.2 221.4
2 960.0 65.6 229.4
2 11011.0 203.7 536.7
2 24904.0 879.2 4932.0
2 1012.0 6610.1 18560.6
2 130921.8 22869.7 57027.6
2 239108.4 358020.0 8337264.0
2 35617.6 223918.8 721321.2
2 10510.5 505.8 2055.0
2 -1.0 -1.0 -1.0
2 -1.0 -1.0 -1.0
2 69357.6 4210.5 14077.5
2 283.8 22.7 52.6
2 2.3195464E7 838324.4 3355653.5
2 286704.8 12177.0 34708.8
2 2185773.0 150436.8 506628.0
2 237991.5 14415.0 36945.0
2 14137.5 803.6 1706.4
2 16116.0 837.2 2120.4
2 1645.8 90.6 207.6
2 39450.6 3085.6 8257.2
2 1162.0 16.0 37.1
2 3448.8 169.5 656.8
2 301035.0 10063.2 38047.5
3 13946.4 1124.1 8427.6
3 7170.9 275.2 1822.4
3 910.0 69.0 364.6
3 6947.6 216.3 302.0
3 2.15706464E8 3.7547028E7 1.97708512E8
3 132153.0 7843.0 24682.0
3 144444.3 18288.6 51637.4
3 156549.8 503559.0 8337264.0
3 4649.4 74022.2 227093.6
3 267339.6 57141.6 129883.5
3 27650.5 498.0 1231.2
3 24800.0 429.5 1094.4
3 4284333.0 505424.7 1458133.6
3 136260.0 21990.6 58627.2
3 5.6905948E7 3333132.0 3003124.5
3 1.4977566E7 1050200.0 3056130.0
3 3569732.5 538506.0 1535904.0
3 172262.4 31275.2 79738.7
3 25970.0 4409.6 10236.2
3 6445.0 603.6 2167.5
3 2436.6 165.9 511.2
3 72286.5 6842.0 24932.0
3 1170.0 14.7 53.2
3 11771.5 731.5 2643.9
3 33322.2 1872.0 2223.9
4 9570.9 3189.2 7460.2
4 190713.6 866.4 2797.6
4 254.0 165.6 234.8
4 2337.4 88.8 306.8
4 41055.0 1629.1 5838.3
4 379.2 2127.6 13593.0
4 107514.9 21896.6 43291.8
4 63897.6 57866.4 6925788.0
4 152271.6 154367.8 714690.5
4 252360.9 8210.4 25399.0
4 -1.0 -1.0 -1.0
4 -1.0 -1.0 -1.0
4 342236.0 5737.2 33780.0
4 65480.8 1692.0 11326.5
4 3.7329028E7 4777197.0 1.554514E7
4 8.4061992E7 753043.2 1248029.5
4 1.4301854E7 942175.5 6597329.0
4 78586.8 15038.1 1650.0
4 9595.3 2266.8 227.8
4 122.5 66.2 246.6
4 797.4 304.0 58.8
4 11286.0 3241.0 4593.6
4 1480.6 17.8 72.5
4 2517.0 25.3 124.2
4 580635.0 11434.5 49248.0
5 53890.2 3925.5 18729.0
5 12830.5 3484.6 32464.5
5 5.4 19.5 1419.0
5 0.0 2219.0 8462.3
5 -1.0 -1.0 -1.0
5 1144836.0 4377.5 26071.5
5 681950.4 31325.5 133616.3
5 0.0 5913.0 140287.0
5 718956.8 2925.0 462570.0
5 648081.0 20777.4 72746.4
5 1.95474712E12 90.5 7351727.5
5 1.24266432E8 6884.0 50013.6
5 4.298136E7 1852.0 15449.6
5 11943.4 0.0 309.6
5 2.14417613E10 856724.0 5319283.0
5 2.5223836E7 9471624.0 5.9690828E7
5 3574.8 71.2 964.4
5 475324.4 3726.0 29380.2
5 9042.2 171.6 936.4
5 522979.2 9832.8 75040.0
5 960567.3 26068.0 191515.5
5 28819.4 706.3 5817.0
5 -1.0 -1.0 -1.0
5 10880.0 107.1 246.0
5 110147.4 72.4 3049.9
6 3239549.5 2605863.8 3819268.2
6 208801.6 270270.4 675747.8
6 270559.5 47378.4 194972.8
6 48321.2 11217.8 33396.3
6 2.6736934E7 2233243.0 1743262.4
6 337730.6 1297059.0 5281533.5
6 2.3362422E7 8480831.0 1.4761997E7
6 4403913.0 1.0327996E7 9.8241232E7
6 944458.8 969470.7 4368046.0
6 340619.2 55884.8 234905.6
6 193622.4 25136.2 89964.0
6 225388.5 23099.6 89345.2
6 1.651136E8 1.12795904E8 5.3869556E7
6 1257312.0 238546.8 1545941.1
6 1.16176036E11 1.56242288E8 1.50721328E8
6 8.4520408E7 1.9260956E7 3.26058432E8
6 2881469.5 48152.5 153515.1
6 2.9011776E7 850564.0 988696.8
6 1105278.2 34668.0 116613.2
6 916806.0 70648.2 274733.5
6 126522.0 5554.8 29968.4
6 2466383.0 81571.8 259848.6
6 0.0 41.6 73.0
6 3110710.5 588563.0 4314773.5
6 4054347.0 934176.0 4715184.0
7 1.9395936E7 1714854.6 1800.0
7 310266.0 27804.0 124890.0
7 5101146.5 498116.2 1938064.0
7 9256.1 636.6 3749.0
7 1.5417216E9 4.53794048E8 3.9284768E8
7 8660239.0 4247110.0 2.40051104E8
7 1.91560832E8 8.1478E7 4.5526876E7
7 82295.1 124507.6 6435475.0
7 6470063.0 3.449852E7 2.35447792E8
7 3731542.0 289409.4 320532.6
7 34234.8 1183.2 4511.2
7 28005.6 966.7 3691.1
7 112240.0 5833.8 27797.7
7 165722.6 10317.5 35908.8
7 5.6367697E12 6.8338606E9 6.8452475E9
7 4.52665824E8 1.5702552E8 3.06540544E8
7 619.2 24.1 125.2
7 5.0488692E7 6453306.5 2.528375E7
7 2.1240584E7 2207224.8 3290080.0
7 1.6474363E7 1624948.5 5656792.0
7 1740106.4 187261.8 597969.9
7 2.275218E7 1572194.4 8447683.0
7 4389.0 253.5 1300.0
7 201428.8 8474.4 51680.9
7 206203.2 9218.4 53194.7
8 5.1346268E7 152580.8 710320.3
8 647929.0 2548.8 9851.4
8 7155978.0 27756.0 96180.0
8 10223.2 204.3 677.7
8 -1.0 5.6758108E7 3.6981608E7
8 113394.6 480431.1 1917087.0
8 3.91013376E8 1842226.4 6069888.0
8 74232.0 80009.6 5137159.5
8 655849.6 2712202.5 1.1027546E7
8 849568.0 12876.3 46939.5
8 -1.0 -1.0 -1.0
8 27922.5 415.5 1250.4
8 29855.4 1160.0 6893.7
8 4384.0 121.5 547.8
8 1.05678609E12 3.6903248E8 1.28162163E9
8 1.759636E7 119329.1 447905.2
8 19567.0 170.1 950.8
8 2.72975712E8 3632473.5 5598573.0
8 6.6310068E7 218433.6 1201235.4
8 3.3651E7 451532.0 2043641.6
8 1.054616E7 60764.1 205134.4
8 9.6256408E7 334374.0 2282739.8
8 -1.0 -1.0 -1.0
8 1094.1 14.7 44.1
8 537.0 18.3 57.6
9 5.8922708E7 1845723.4 9520695.0
9 864691.4 9436.9 35325.6
9 2.2264834E7 941058.0 2493540.0
9 11760.0 597.5 1229.2
9 2.9761514E7 824653.5 2889083.5
9 6.1855448E7 1.86693344E8 7.6358048E8
9 2.9994192E7 2.5917248E7 3.3906436E7
9 86150.9 63417.6 6758290.0
9 1270831.0 4078268.0 1.5877212E7
9 1234970.1 47924.8 196728.0
9 45219.6 2115.0 5134.4
