PL VL1 VL2 VL3
1 0.86 0.0 0.51
1 2.07 1.91 1.36
1 4.64 2.46 2.34
1 1.86 2.23 2.28
1 1.36 3.08 2.66
1 3.53 3.74 1.79
1 1.5 0.16 0.0
1 0.17 2.38 1.12
1 5.3 4.82 1.69
1 1.87 1.69 1.41
1 NaN NaN NaN
1 0.1 0.3 0.13
1 0.71 0.57 0.33
1 3.89 1.66 1.68
1 1.68 1.59 1.99
1 2.35 2.08 1.81
1 3.29 2.73 2.82
1 0.06 0.0 0.77
1 0.8 1.02 1.32
1 2.54 1.21 0.95
1 0.18 0.0 0.0
1 0.31 0.06 0.0
1 0.03 0.54 0.18
1 4.03 1.45 3.31
1 1.82 1.69 1.95
2 0.16 0.21 0.68
2 0.0 0.0 0.0
2 0.0 0.1 0.02
2 0.0 0.76 0.74
2 0.0 0.29 0.0
2 0.0 0.0 0.14
2 0.56 0.46 0.61
2 0.62 1.09 0.0
2 4.12 0.84 0.97
2 0.0 0.0 0.0
2 NaN NaN NaN
2 NaN NaN NaN
2 0.53 0.56 0.36
2 2.15 0.0 0.0
2 0.22 0.0 0.05
2 0.3 0.1 0.0
2 2.03 1.77 2.05
2 0.48 0.78 1.35
2 0.19 0.67 0.87
2 2.12 1.1 0.93
2 0.31 0.53 0.55
2 0.54 0.64 0.47
2 0.0 0.04 0.0
2 0.0 0.18 0.0
2 1.15 2.56 1.97
3 0.16 0.16 0.67
3 0.25 0.4 0.21
3 0.0 0.0 0.0
3 1.43 2.76 3.5
3 3.94 4.92 4.6
3 0.99 1.58 0.26
3 0.61 0.36 0.57
3 0.44 0.88 0.0
3 0.0 0.0 0.0
3 1.41 2.05 1.8
3 0.08 0.0 0.0
3 0.0 0.0 0.0
3 2.32 2.64 2.37
3 4.83 2.99 3.05
3 0.61 0.6 0.0
3 2.02 2.04 1.94
3 1.31 1.28 1.74
3 0.34 1.11 1.68
3 0.46 1.41 1.65
3 1.72 0.96 0.94
3 0.49 0.79 0.94
3 0.81 0.99 0.95
3 0.0 0.0 0.16
3 0.95 0.0 1.41
3 1.03 1.65 1.27
4 0.0 0.61 0.62
4 2.07 1.37 1.19
4 2.06 0.7 0.3
4 1.31 0.0 0.0
4 0.22 0.56 0.07
4 1.76 1.82 0.0
4 0.48 0.44 0.49
4 0.05 0.19 0.72
4 5.14 1.18 1.93
4 1.38 1.21 1.09
4 NaN NaN NaN
4 NaN NaN NaN
4 1.23 0.69 0.74
4 4.52 1.87 2.33
4 0.43 0.76 0.71
4 2.77 1.89 1.56
4 3.57 3.33 3.9
4 0.0 0.8 0.0
4 0.03 1.12 0.0
4 0.0 0.0 0.0
4 0.0 1.05 0.0
4 0.0 0.66 0.22
4 0.11 0.08 0.29
4 3.74 0.82 2.5
4 3.64 3.18 3.12
5 0.75 0.7 1.02
5 1.78 2.44 1.89
5 0.67 0.0 0.47
5 0.0 0.1 1.91
5 NaN NaN NaN
5 2.09 1.93 0.28
5 1.28 0.6 0.98
5 2.11 2.38 1.1
5 3.3 0.64 1.82
5 1.79 1.61 1.55
5 7.93 5.89 3.33
5 3.7 1.35 1.47
5 3.32 0.2 0.4
5 3.78 0.0 0.77
5 3.19 0.01 0.25
5 2.25 2.99 3.24
5 0.0 0.0 0.0
5 0.78 0.19 1.25
5 0.0 0.0 0.61
5 3.63 2.17 2.48
5 3.08 2.98 3.51
5 0.41 0.0 0.32
5 NaN NaN NaN
5 3.28 0.99 2.51
5 0.82 1.06 0.87
6 2.53 3.52 3.33
6 3.68 4.42 4.35
6 5.28 5.38 5.41
6 2.68 5.46 5.37
6 3.03 3.7 2.55
6 4.65 4.48 2.59
6 2.82 3.03 3.03
6 1.89 4.24 4.37
6 6.9 4.44 4.49
6 1.51 2.04 2.06
6 0.93 1.73 1.83
6 0.96 1.8 1.69
6 3.91 4.99 3.94
6 5.8 4.02 4.47
6 3.92 2.27 1.7
6 2.77 3.3 3.97
6 3.89 4.4 4.38
6 2.57 2.55 2.78
6 2.09 2.31 2.71
6 3.87 3.03 3.05
6 2.2 2.31 2.71
6 2.34 2.06 1.97
6 0.0 0.45 0.29
6 6.36 4.87 5.37
6 4.21 5.07 4.66
7 3.31 3.34 0.0
7 3.35 4.09 3.68
7 4.99 7.16 6.84
7 5.11 6.11 6.66
7 4.79 6.01 4.9
7 6.18 5.77 4.25
7 3.73 4.01 3.52
7 0.16 0.29 0.01
7 5.27 5.62 4.1
7 2.55 2.76 2.19
7 0.18 0.32 0.63
7 0.05 0.32 0.39
7 0.74 0.7 0.65
7 4.92 2.66 2.83
7 5.61 3.91 3.36
7 3.5 4.21 3.95
7 0.78 1.0 1.15
7 2.81 3.43 4.19
7 3.37 4.11 4.16
7 5.13 4.39 4.36
7 3.34 3.84 4.01
7 3.3 3.35 3.48
7 0.58 1.24 1.54
7 4.15 2.25 3.63
7 0.68 1.02 0.88
8 3.73 2.29 2.6
8 2.47 2.7 2.74
8 5.13 5.06 5.13
8 3.4 4.92 5.35
8 NaN 5.1 3.87
8 4.28 4.29 2.15
8 4.04 2.37 2.64
8 0.12 0.47 0.4
8 4.28 2.97 2.77
8 1.91 1.41 1.36
8 NaN NaN NaN
8 0.05 0.24 0.0
8 0.17 0.0 0.05
8 3.34 0.73 1.02
8 4.88 2.64 2.63
8 2.09 1.09 1.11
8 0.17 0.21 0.51
8 3.54 3.18 3.53
8 3.87 3.1 3.72
8 5.44 3.83 3.92
8 4.12 3.35 3.54
8 3.93 2.68 2.92
8 NaN NaN NaN
8 2.75 0.43 1.87
8 0.0 0.0 0.0
9 3.79 3.37 3.72
9 2.96 3.33 2.92
9 5.63 5.75 5.56
9 4.53 6.06 4.82
