PL VL1 VL2 VL3
1 69292.2 785.4 5784.0
1 5095.2 612739.8 50997.6
1 2275209.5 3322.2 29534.4
1 136.8 3423.0 24957.7
1 576386.3 535757.5 2245547.5
1 26646.1 1341948.2 840372.0
1 1116295.2 11492.0 13862.1
1 84268.2 25283.7 3277.8
1 6912015.0 1.59237728E8 915515.5
1 782838.0 24945.4 52672.7
1 NaN NaN NaN
1 31488.2 923.3 6481.6
1 103859.0 4352.0 13294.5
1 15570.0 1040.4 2492.4
1 6.6269971E8 3.286462E7 2.93443328E8
1 3.2260952E7 1148638.8 2248780.8
1 81088.2 146804.4 1431100.2
1 89387.2 2400.0 9701.9
1 56521.5 1797.4 4739.4
1 42041.2 1070.4 2175.6
1 1219.0 27.0 59.4
1 23284.5 805.0 2776.2
1 1253.7 50.4 55.9
1 21573.0 48286.8 1449603.4
1 250.0 724.5 29716.2
2 13845.6 1264.5 8552.4
2 43.5 7486.0 2243.0
2 52.5 14.5 141.1
2 1.9 115.8 711.0
2 24904.0 879.2 4932.0
2 7.8 242.8 18560.6
2 130921.8 22869.7 57027.6
2 239108.4 1286.0 0.0
2 454232.8 16752.4 175731.6
2 10510.5 505.8 2055.0
2 NaN NaN NaN
2 NaN NaN NaN
2 69357.6 4210.5 14077.5
2 283.8 22.7 52.6
2 2.3195464E7 838324.4 3355653.5
2 286704.8 12177.0 34708.8
2 4452.0 15955.7 245140.9
2 237991.5 14415.0 36945.0
2 14137.5 803.6 1706.4
2 16116.0 837.2 2120.4
2 1645.8 90.6 207.6
2 39450.6 3085.6 8257.2
2 1162.0 16.0 37.1
2 2.0 2605.2 703.5
2 53.5 5414.4 31465.9
3 13946.4 1124.1 8427.6
3 77.4 18691.2 3675.0
3 52.5 0.0 136.1
3 51.5 11518.0 411264.0
3 2.15706464E8 3.7547028E7 1.97708512E8
3 76.8 9152.0 24682.0
3 144444.3 18288.6 51637.4
3 156549.8 791.7 249.6
3 34.4 2402.4 18766.5
3 267339.6 57141.6 129883.5
3 27650.5 564.0 3459.6
3 24800.0 462.0 4836.3
3 4284333.0 505424.7 1458133.6
3 136260.0 21990.6 58627.2
3 5.6905948E7 3333132.0 3003124.5
3 1.4977566E7 1050200.0 3056130.0
3 839.5 5245.2 119865.2
3 172262.4 31275.2 79738.7
3 25970.0 4409.6 10236.2
3 6445.0 603.6 2167.5
3 2436.6 165.9 511.2
3 72286.5 6842.0 24932.0
3 1170.0 14.7 53.2
3 18.0 1711.0 18042.1
3 40.4 664.2 6265.6
4 9570.9 3189.2 7460.2
4 5070.6 177030.0 35002.5
4 5961.6 57.2 269.4
4 39.0 0.0 130.5
4 41055.0 1629.1 5838.3
4 446.6 15918.5 13593.0
4 107514.9 21896.6 43291.8
4 63897.6 161.7 1312.4
4 4715942.0 36326.2 1584447.1
4 252360.9 8210.4 25399.0
4 NaN NaN NaN
4 NaN NaN NaN
4 342236.0 5737.2 33780.0
4 65480.8 1692.0 11326.5
4 3.7329028E7 4777197.0 1.554514E7
4 8.4061992E7 753043.2 1248029.5
4 152076.0 590985.3 1.730775E7
4 78586.8 15038.1 1650.0
4 9595.3 2266.8 227.8
4 122.5 66.2 246.6
4 797.4 304.0 58.8
4 11286.0 3241.0 4593.6
4 1480.6 17.8 72.5
4 10917.9 11310.0 222830.4
4 16567.2 22570.0 446424.2
5 53890.2 3925.5 18729.0
5 2591.6 2067263.8 172378.4
5 246.0 11.4 399.6
5 0.0 25.6 10677.7
5 NaN NaN NaN
5 950.0 20664.0 26071.5
5 681950.4 31325.5 133616.3
5 7280309.0 25092.6 3135.6
5 69210.0 10509.4 1232478.0
5 648081.0 20777.4 72746.4
5 1.95474712E12 4.39553568E8 7351727.5
5 1.24266432E8 10331.2 140763.4
5 4.298136E7 1852.0 15449.6
5 11943.4 0.0 309.6
5 2.14417613E10 856724.0 5319283.0
5 2.5223836E7 9471624.0 5.9690828E7
