% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
 27.66   32.598797          16   2000336       232 openat
 24.89   29.330797          29   1000001           fsync
 11.00   12.967830          13   1000052           write
 10.78   12.708711           6   2000132           close
 10.42   12.283895           4   3000025           lstat
  4.91    5.781635           6   1000073           read
  3.98    4.691240           5   1000102           fstat
  3.26    3.838199           4   1000003         2 lseek
  3.09    3.638571           4   1000001           getcwd
  0.00    0.002168           4       598        69 stat
  0.00    0.001601           8       210           mmap
  0.00    0.000922           7       140           mprotect
  0.00    0.000821           3       308       302 open
  0.00    0.000483           2       210         4 futex
  0.00    0.000297           0       602           brk
  0.00    0.000171          16        11         4 access
  0.00    0.000165          11        15           readlink
  0.00    0.000113           3        36           rt_sigaction
  0.00    0.000082           3        29           munmap
  0.00    0.000059           5        11           ioctl
  0.00    0.000047           0       116           getrusage
  0.00    0.000044           2        22           socket
  0.00    0.000041           5         9           pread64
  0.00    0.000038           3        12           getdents
  0.00    0.000036           1        26           rt_sigprocmask
  0.00    0.000030          15         2           mremap
  0.00    0.000030          15         2           execve
  0.00    0.000024           1        21        21 connect
  0.00    0.000012           3         4           sigaltstack
  0.00    0.000008           4         2           arch_prctl
  0.00    0.000000           0         2           getpid
  0.00    0.000000           0         1           clone
  0.00    0.000000           0         2           umask
  0.00    0.000000           0         1           sysinfo
  0.00    0.000000           0         1           getuid
  0.00    0.000000           0         1           getppid
  0.00    0.000000           0         2           statfs
  0.00    0.000000           0         2           gettid
  0.00    0.000000           0         1           sched_getaffinity
  0.00    0.000000           0         2           set_tid_address
  0.00    0.000000           0         1           clock_getres
  0.00    0.000000           0         2           set_robust_list
  0.00    0.000000           0         2           prlimit64
  0.00    0.000000           0         1           getrandom
------ ----------- ----------- --------- --------- ----------------
100.00  117.846867              13003132       634 total
