% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
 27.58   32.833751          16   2000332       231 openat
 24.86   29.598628          30   1000001           fsync
 10.94   13.024964          13   1000052           write
 10.83   12.888625           6   2000129           close
 10.44   12.428859           4   3000025           lstat
  4.99    5.940293           6   1000072           read
  3.94    4.692452           5   1000099           fstat
  3.23    3.845319           4   1000003         2 lseek
  3.17    3.770466           4   1000001           getcwd
  0.01    0.011924          20       598        69 stat
  0.00    0.005177          17       308       302 open
  0.00    0.001704           8       207           mmap
  0.00    0.001188          42        28           munmap
  0.00    0.000945           7       139           mprotect
  0.00    0.000815           1       626           brk
  0.00    0.000557           2       255           futex
  0.00    0.000389          49         8           pread64
  0.00    0.000384          32        12           getdents
  0.00    0.000347          23        15           readlink
  0.00    0.000247          22        11         4 access
  0.00    0.000162           7        22           socket
  0.00    0.000153           6        26           rt_sigprocmask
  0.00    0.000067          34         2           statfs
  0.00    0.000056           3        21        21 connect
  0.00    0.000050           0       116           getrusage
  0.00    0.000038           3        11           ioctl
  0.00    0.000016           8         2           arch_prctl
  0.00    0.000014          14         1           sysinfo
  0.00    0.000008           0        36           rt_sigaction
  0.00    0.000006           6         1           clone
  0.00    0.000004           2         2           execve
  0.00    0.000004           4         1           sched_getaffinity
  0.00    0.000004           2         2           prlimit64
  0.00    0.000003           2         2           gettid
  0.00    0.000003           2         2           set_tid_address
  0.00    0.000002           1         2           umask
  0.00    0.000002           1         2           set_robust_list
  0.00    0.000001           1         2           getpid
  0.00    0.000001           1         1           getppid
  0.00    0.000001           1         1           getrandom
  0.00    0.000000           0         2           mremap
  0.00    0.000000           0         1           getuid
  0.00    0.000000           0         4           sigaltstack
  0.00    0.000000           0         1           clock_getres
------ ----------- ----------- --------- --------- ----------------
100.00  119.047629              13003184       629 total
